star.thisTrialN,star.stepSize,star.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,star.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
65,0.5,17.5,68.81750959996134,,68.8078838000074,68.81750959996134,69.31653070030734,69.31653070030734,69.31653070030734,,69.50635519996285,right,17.5,1,1,0.17398060020059347,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
66,0.5,17.5,69.51730789989233,,69.50645990017802,69.51730789989233,70.01798140024766,70.01798140024766,70.01798140024766,,70.14013110008091,left,-17.5,0,0,0.11865689978003502,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
67,0.5,18.0,70.15064570028335,,70.14026120025665,70.15064570028335,70.65110110025853,70.65110110025853,70.65110110025853,70.9512825999409,71.4061906998977,right,18.0,1,1,0.7387883998453617,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
68,0.5,18.0,71.41743730008602,,71.40629940014333,71.41743730008602,71.91748879989609,71.91748879989609,71.91748879989609,72.21744689997286,72.44018950033933,left,-18.0,1,1,0.5209607998840511,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
69,0.5,18.0,72.45051250001416,,72.44030660018325,72.45051250001416,72.95031630015,72.95031630015,72.95031630015,73.25074709998444,73.389947200194,left,-18.0,1,1,0.43529829988256097,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
70,0.5,17.5,73.40036850003526,,73.39008700009435,73.40036850003526,73.89967150008306,73.89967150008306,73.89967150008306,74.20054830005392,74.42259379988536,left,-17.5,1,1,0.5084732002578676,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
71,0.5,17.5,74.43364199995995,,74.42271320009604,74.43364199995995,74.93276940006763,74.93276940006763,74.93276940006763,75.23362670000643,75.42199960025027,right,17.5,1,1,0.4784625000320375,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
72,0.5,17.5,75.4336163001135,,75.42211470007896,75.4336163001135,75.93367090029642,75.93367090029642,75.93367090029642,76.2335986001417,76.30692460015416,right,17.5,1,1,0.36521860025823116,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
73,0.5,17.0,76.31667610025033,,76.30705340020359,76.31667610025033,76.81658700015396,76.81658700015396,76.81658700015396,77.11685630027205,77.22265839995816,right,17.0,1,1,0.39102800004184246,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
74,0.5,17.0,77.23311730008572,,77.22276620008051,77.23311730008572,77.73297649994493,77.73297649994493,77.73297649994493,78.03327080002055,78.5560361999087,left,-17.0,1,1,0.8076883996836841,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
75,0.5,17.0,78.56653930014,,78.55615349998698,78.56653930014,79.06703770020977,79.06703770020977,79.06703770020977,79.3670642003417,79.50443950016052,right,17.0,1,1,0.42735709995031357,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
76,0.5,16.5,79.51604070002213,,79.50457750027999,79.51604070002213,80.01684490032494,80.01684490032494,80.01684490032494,80.3170316000469,80.33814490027726,right,16.5,1,1,0.3079719003289938,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
77,0.5,16.5,80.34962100023404,,80.33826219988987,80.34962100023404,80.85045320028439,80.85045320028439,80.85045320028439,81.14955689990893,81.17228309996426,right,16.5,1,1,0.30810000002384186,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
78,0.5,16.5,81.18283980013803,,81.1724088001065,81.18283980013803,81.68264860007912,81.68264860007912,81.68264860007912,81.98315729992464,82.18811500025913,left,-16.5,1,1,0.49424259969964623,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
79,0.5,16.0,82.19964710017666,,82.18823600001633,82.19964710017666,82.6999924001284,82.6999924001284,82.6999924001284,82.99963540025055,83.1383851999417,left,-16.0,1,1,0.42336100013926625,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
80,0.5,16.0,83.14925480028614,,83.13850300014019,83.14925480028614,83.64918440021574,83.64918440021574,83.64918440021574,83.94967660028487,84.08895800029859,right,16.0,0,0,0.433039499912411,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
81,0.5,16.5,84.10006260033697,,84.08911100029945,84.10006260033697,84.59900839999318,84.59900839999318,84.61579710012302,84.89901020005345,84.98843260016292,left,-16.5,0,0,0.3846497000195086,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
82,0.5,17.0,84.9990524998866,,84.98856549989432,84.9990524998866,85.49809839995578,85.49809839995578,85.49809839995578,85.79887850023806,86.07186900032684,right,17.0,1,1,0.5599062996916473,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
83,0.5,17.0,86.08212310029194,,86.0719940001145,86.08212310029194,86.58230330003425,86.58230330003425,86.58230330003425,86.88189970003441,87.03805870003998,right,17.0,1,1,0.4473598999902606,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
84,0.5,17.0,87.0487315999344,,87.03818130027503,87.0487315999344,87.54884409997612,87.54884409997612,87.54884409997612,87.84924740018323,87.95422099996358,left,-17.0,1,1,0.394098199903965,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
85,0.5,16.5,87.96535809990019,,87.95435000024736,87.96535809990019,88.46487660007551,88.46487660007551,88.46487660007551,88.76605929993093,89.0046065999195,left,-16.5,1,1,0.5302039999514818,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
86,0.5,16.5,89.01533280033618,,89.004724400118,89.01533280033618,89.51460839994252,89.51460839994252,89.51460839994252,89.81592190032825,90.02106659999117,left,-16.5,1,1,0.49915469996631145,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
87,0.5,16.5,90.03131450014189,,90.02119070012122,90.03131450014189,90.53175160009414,90.53175160009414,90.53175160009414,90.8315266999416,90.98749529989436,left,-16.5,1,1,0.4440445997752249,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
88,0.5,16.0,90.99807540001348,,90.9876180998981,90.99807540001348,91.49907130002975,91.49907130002975,91.49907130002975,91.79931150004268,91.96995430020615,right,16.0,0,0,0.4597281003370881,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
